conteudo_id,titulo,tipo,categoria,nivel,carga_horaria_min,data_publicacao,descricao,autor
1,Curso Completo de Segurança de Redes e Controle de Acesso: Da Teoria à Prática,Curso,DevOps & Cloud,Avançado,3479,2025-03-06,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Segurança de Redes e Controle de Acesso. O treinamento abrange tópicos de nível avançado, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em DevOps & Cloud.",Profa. Carla Antunes Silveira
2,Deep Dive Ep. 21: Casos de Sucesso em Linhagem de Dados e Rastreabilidade de Origem,Podcast,Segurança & Governança,Básico,39,2024-10-21,"Episódio enriquecedor com debates aprofundados sobre Linhagem de Dados e Rastreabilidade de Origem. Nesta gravação para o público de nível básico, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Segurança & Governança.",Prof. Lucas Fernandes Prado
3,Data Insights Ep. 54: Experiências Reais com Práticas de DataOps e Qualidade de Dados,Podcast,Engenharia de Dados,Avançado,75,2024-09-14,"Episódio enriquecedor com debates aprofundados sobre Práticas de DataOps e Qualidade de Dados. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Engenharia de Dados.",Eng. Thiago Pinheiro Borges
4,Guia Definitivo e Boas Práticas sobre Integração de Conectores com SQLAlchemy e Psycopg3,Artigo,Programação & Software,Avançado,7,2025-07-24,"Artigo técnico detalhado que explora Integração de Conectores com SQLAlchemy e Psycopg3 sob uma ótica técnica e conceitual. Focado em nível avançado, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Programação & Software.",Eng. Bruno César Pires
5,Análise Comparativa e Padrões Recomendados em Design de Dashboards e Eliminação de Chartjunk,Artigo,Business Intelligence,Básico,5,2026-05-18,"Artigo técnico detalhado que explora Design de Dashboards e Eliminação de Chartjunk sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Business Intelligence.",Eng. Thiago Pinheiro Borges
6,Estudo Técnico e Decisões de Arquitetura em Auditoria e Monitoramento de Logs de Acesso,Artigo,Segurança & Governança,Básico,22,2025-05-25,"Artigo técnico detalhado que explora Auditoria e Monitoramento de Logs de Acesso sob uma ótica técnica e conceitual. Focado em nível básico, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Segurança & Governança.",Prof. Lucas Fernandes Prado
7,Data Insights Ep. 108: Experiências Reais com Auditoria e Monitoramento de Logs de Acesso,Podcast,Segurança & Governança,Avançado,86,2025-06-09,"Episódio enriquecedor com debates aprofundados sobre Auditoria e Monitoramento de Logs de Acesso. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Segurança & Governança.",Dra. Renata Figueiredo Melo
8,Construindo Aplicações Robustas com Estatística Descritiva e Inferencial para Decisão,Curso,Ciência de Dados,Básico,619,2025-04-26,"Neste curso aprofundado, você aprenderá de forma estruturada sobre Estatística Descritiva e Inferencial para Decisão. O treinamento abrange tópicos de nível básico, exercícios práticos e construção de projetos completos. Indicado para profissionais que desejam dominar ferramentas modernas e padrões consolidados em Ciência de Dados.",Dra. Mariana Vasconcelos
9,Arquitetura & Código Ep. 121: Inovações em Machine Learning Supervisionado com Scikit-Learn,Podcast,Ciência de Dados,Avançado,57,2025-07-27,"Episódio enriquecedor com debates aprofundados sobre Machine Learning Supervisionado com Scikit-Learn. Nesta gravação para o público de nível avançado, especialistas compartilham experiências práticas, desafios reais do mercado e reflexões sobre impactos estratégicos e técnicos em Ciência de Dados.",Profa. Larissa Duarte Toledo
10,Princípios Essenciais e Arquitetura de Auditoria e Monitoramento de Logs de Acesso,Artigo,Segurança & Governança,Intermediário,13,2024-01-10,"Artigo técnico detalhado que explora Auditoria e Monitoramento de Logs de Acesso sob uma ótica técnica e conceitual. Focado em nível intermediário, aborda trade-offs arquiteturais, vantagens competitivas, padrões recomendados e diretrizes fundamentais para especialistas que atuam em Segurança & Governança.",Dra. Camila Guimarães Rocha
